Date;SPX;LIBOR
04.09.1986;271.9343;0.058125
05.09.1986;268.3347;0.05875
08.09.1986;265.8385;0.06
09.09.1986;265.335;0.06
10.09.1986;264.6815;0.06
11.09.1986;251.9541;0.060125
12.09.1986;247.1225;0.060625
15.09.1986;248.483;0.060625
16.09.1986;248.2474;0.060625
17.09.1986;248.2045;0.060625
18.09.1986;248.8794;0.06125
19.09.1986;248.7723;0.06125
22.09.1986;251.6863;0.061875
23.09.1986;252.4791;0.060625
24.09.1986;253.1326;0.060625
25.09.1986;248.3652;0.060625
26.09.1986;248.7937;0.06125
29.09.1986;246.3083;0.06125
30.09.1986;248.5688;0.06125
01.10.1986;251.0188;0.060625
02.10.1986;251.3626;0.060625
03.10.1986;251.137;0.058125
06.10.1986;252.2868;0.05875
07.10.1986;251.8892;0.05875
08.10.1986;254.3284;0.058125
09.10.1986;253.4365;0.05875
10.10.1986;253.039;0.05875
13.10.1986;253.501;0.05875
14.10.1986;252.9207;0.059375
15.10.1986;256.6065;0.06
16.10.1986;257.3909;0.06
17.10.1986;256.6495;0.060625
20.10.1986;253.5655;0.06125
21.10.1986;253.4688;0.06125
22.10.1986;253.8771;0.06125
23.10.1986;257.1223;0.060125
24.10.1986;256.0262;0.060125
27.10.1986;256.5743;0.060125
28.10.1986;257.1008;0.060125
29.10.1986;258.9061;0.06
30.10.1986;261.8826;0.059375
31.10.1986;262.9035;0.06
03.11.1986;264.8646;0.059375
04.11.1986;265.2957;0.06
05.11.1986;265.7051;0.06
06.11.1986;264.9401;0.060125
07.11.1986;264.8323;0.060125
10.11.1986;265.2202;0.06125
11.11.1986;266.2439;0.06125
12.11.1986;265.7698;0.06125
13.11.1986;261.869;0.060125
14.11.1986;263.4638;0.060125
17.11.1986;262.0738;0.06125
18.11.1986;255.145;0.060125
19.11.1986;256.0933;0.06125
20.11.1986;260.8238;0.06125
21.11.1986;264.9293;0.060625
24.11.1986;266.6426;0.060125
25.11.1986;267.4185;0.060125
26.11.1986;268.065;0.06125
27.11.1986;268.065;0.06125
28.11.1986;269.2934;0.06125
01.12.1986;269.1097;0.061875
02.12.1986;274.4584;0.061875
03.12.1986;274.2963;0.061875
04.12.1986;273.4211;0.061875
05.12.1986;271.4005;0.06125
08.12.1986;271.3897;0.061875
09.12.1986;269.3582;0.061875
10.12.1986;271.1736;0.061875
11.12.1986;268.1588;0.061875
12.12.1986;267.2728;0.061875
15.12.1986;268.2021;0.0625
16.12.1986;270.1795;0.06375
17.12.1986;267.4997;0.064375
